inventoryId,languageId,companyCodeId,plantId,warehouseId,palletCode,caseCode,itemCode,packBarcodes,variantCode,variantSubCode,batchSerialNumber,storageBin,stockTypeId,specialStockIndicatorId,referenceOrderNo,storageMethod,binClassId,description,allocatedQuantity,inventoryQuantity,inventoryUom,manufacturerCode,manufacturerDate,expiryDate,barcodeId,cbm,cbmUnit,cbmPerQuantity,manufacturerName,origin,brand,referenceDocumentNo,levelId,companyDescription,plantDescription,warehouseDescription,statusDescription,stockTypeDescription,deletionIndicator,referenceField1,referenceField2,referenceField3,referenceField4,referenceField5,referenceField6,referenceField7,referenceField8,referenceField9,referenceField10,dType,createdBy
,EN,23,125,200,99999,99999,0446502220A1N128V,99999,,,,A1-AF-30-30B,1,1,,,1,PM2 A1N128V B/PAD FR D2274 COROLLA 2008-,0,5,EACH,ADB,,,A1N128V 1 SET,,,,ADB,,,,2,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,5,AF,,,PM2 A1N128V B/PAD FR D2274 COROLLA 2008-,ADB,A1,InventoryV2,admin
,EN,23,125,200,99999,99999,0446506090A1N188VS,99999,,,,A1-AF-23-20A,1,1,,,1,A1N188V-S B/PAD FR W/SHIM D2304 AURION,0,8,EACH,ADB,,,0446506090A1N188VS,,,,ADB,,,,2,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,8,AF,,,A1N188V-S B/PAD FR W/SHIM D2304 AURION,ADB,A1,InventoryV2,admin
,EN,23,125,200,99999,99999,044650D160A1N254VS,99999,,,,A1-AF-23-50B,1,1,,,1,A1N254V-S B/PAD FR W/SHIM D2343 YARIS 14,0,5,EACH,ADB,,,A1N254V-S 1 SET,,,,ADB,,,,2,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,5,AF,,,A1N254V-S B/PAD FR W/SHIM D2343 YARIS 14,ADB,A1,InventoryV2,admin
,EN,23,125,200,99999,99999,044650K090A1N137VS,99999,,,,A1-AF-23-30C,1,1,,,1,A1N137V-S B/PAD FR W/SHIM D2228 PRADO 06,0,5,EACH,ADB,,,A1N137V-S 1 SET,,,,ADB,,,,2,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,5,AF,,,A1N137V-S B/PAD FR W/SHIM D2228 PRADO 06,ADB,A1,InventoryV2,admin
,EN,23,125,200,99999,99999,0446512581A1N068V,99999,,,,A1-AF-23-50C,1,1,,,1,PM2 A1N068V B/PAD FR D2183M COROLLA 2001,0,5,EACH,ADB,,,A1N068V 1 SET,,,,ADB,,,,2,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,5,AF,,,PM2 A1N068V B/PAD FR D2183M COROLLA 2001,ADB,A1,InventoryV2,admin
,EN,23,125,200,99999,99999,0446512581A1N068VS,99999,,,,A1-AH-16-50A,1,1,,,1,A1N068V-S B/PAD FR W/SHIM D2183M COROLLA,0,5,EACH,ADB,,,A1N068V-S 1 SET,,,,ADB,,,,2,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,5,AH,,,A1N068V-S B/PAD FR W/SHIM D2183M COROLLA,ADB,A1,InventoryV2,admin
,EN,23,125,200,99999,99999,0446533290A1N097VS,99999,,,,A1-AF-23-50A,1,1,,,1,A1N097V-S B/PAD FR W/SHIM D2166 CAMRY 03,0,5,EACH,ADB,,,A1N097V-S 1 SET,,,,ADB,,,,2,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,5,AF,,,A1N097V-S B/PAD FR W/SHIM D2166 CAMRY 03,ADB,A1,InventoryV2,admin
,EN,23,125,200,99999,99999,0446533450A1N154VS,99999,,,,A1-AF-23-30C,1,1,,,1,A1N154V-S B/PAD FR W/SHIM D2270 AURION,0,5,EACH,ADB,,,8.85973E+12,,,,ADB,,,,2,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,5,AF,,,A1N154V-S B/PAD FR W/SHIM D2270 AURION,ADB,A1,InventoryV2,admin
,EN,23,125,200,99999,99999,0446533480A1N286VS,99999,,,,A1-AF-23-30A,1,1,,,1,A1N286V-S B/PAD FR W/SHIM D2360 CAMRY 18,0,5,EACH,ADB,,,A1N286V-S 1 SET,,,,ADB,,,,2,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,5,AF,,,A1N286V-S B/PAD FR W/SHIM D2360 CAMRY 18,ADB,A1,InventoryV2,admin
,EN,23,125,200,99999,99999,0446548100A1N110VS,99999,,,,A1-AH-16-40A,1,1,,,1,A1N110V-S B/PAD FR W/SHIM D2249 RX300 03,0,5,EACH,ADB,,,1.88597E+13,,,,ADB,,,,2,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,5,AH,,,A1N110V-S B/PAD FR W/SHIM D2249 RX300 03,ADB,A1,InventoryV2,admin
