LANG_ID,C_ID,PLANT_ID,WH_ID,ITM_CODE,PACK_BARCODE,ST_BIN,STCK_TYP_ID,SP_ST_IND_ID,BIN_CL_ID,TEXT,INV_QTY,INV_UOM,Isdeleted
EN,1000,1001,110,21307001176,TV00267922,GG1GH05A05,1,1,1,RESETTABLE COMBINATION PADLOCK 2-3/8' SHKL BRS671-49202,1,PIECE,0
EN,1000,1001,110,21307001176,G180022960,GG1GH05A05,1,1,1,RESETTABLE COMBINATION PADLOCK 2-3/8' SHKL BRS671-49202,1,PIECE,0
EN,1000,1001,110,809212,TV00343299,GG1GH05A05,1,1,1,2 RESET COMBINATION PADLOCKM175XDLF,1,PIECE,0
EN,1000,1001,110,9025419,202204201607,GG1GH05A05,1,1,1,SOAP DISH BRNZ -YORK,1,PIECE,0
EN,1000,1001,110,9019699,202106201420,GG1GH05A05,1,1,1,KONI WALL MOUNT PAPER TOWEL HLDR  -FORMA39470,2,PIECE,0
EN,1000,1001,110,161460,TV00354662,GG1GH05A05,1,1,1,5.91 CYLIN PLANTER CORAL5700372BF,2,PIECE,0
EN,1000,1001,110,9025229,202204201263,GG1GH05A05,1,1,1,LAZY SUSAN CABINET BINZ 1/4 CLR,2,PIECE,0
EN,1000,1001,110,0203011799,202205201899,GG1GH05A05,1,1,1,KNIFE SHARPNER GRIND STONE,2,PIECE,0
EN,1000,1001,110,21305740683,TV00366721,GG1GH05A05,1,1,1,MICROFIBER CLOTH8873/8773,2,PIECE,0
EN,1000,1001,110,862565,G190024346,GG1GH05A05,1,1,1,10CT ZIPLOC BAG 2GAL01132,1,PIECE,0
EN,1000,1001,110,0057515803,202101201201,GG1GH05A05,1,1,1,MELAMINE TRAY 45X31CM FLEURI STOFFA FLEURS CHAMP JAUNE,2,PIECE,0
EN,1000,1001,110,0057517414,202101201066,GG1GH05A05,1,1,1,MELAMINE TRAY 57X35CM BASSANO STOFFA LINETTE,2,PIECE,0
EN,1000,1001,110,0203010661,G190036225,GG1GH05A05,1,1,1,STORAGE BOX METAL 10.5X7.8X6,2,PIECE,0
EN,1000,1001,110,832335,G190032756,GG1GH05A05,1,1,1,2CUP SQUR FOOD CONTAINER7J60-00,1,PIECE,0
EN,1000,1001,110,0203011247,G180001765,GG1GH05A05,1,1,1,WIRE CLIPS 2PCS,2,PIECE,0
