LANG_ID,C_ID,PLANT_ID,WH_ID,PAR_ITM_CODE,BOM_NO,PAR_ITM_QTY,STATUS_ID,Isdeleted,CTD_BY,CTD_ON
Language ID,Company Code ID,Plant ID,Warehouse ID,Parent Item Code,BOM NUMBER,Parent item Quantity ,Status ID,Deletion Indicator,Created By ,Created on
NVARCHAR(5),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),INTEGER,"DECIMAL(30,4)",INTEGER,INTEGER,NVARCHAR(50),TIMESTAMP
EN,1000,1001,110,112111,1000001,1,1,0,admin,
EN,1000,1001,110,131779,1000002,1,1,0,admin,
EN,1000,1001,110,143475,1000003,1,1,0,admin,
EN,1000,1001,110,199381,1000004,1,1,0,admin,
EN,1000,1001,110,199384,1000005,1,1,0,admin,
EN,1000,1001,110,199399,1000006,1,1,0,admin,
EN,1000,1001,110,199400,1000007,1,1,0,admin,
EN,1000,1001,110,347313,1000008,1,1,0,admin,
EN,1000,1001,110,556746,1000009,1,1,0,admin,
EN,1000,1001,110,568899,1000010,1,1,0,admin,
EN,1000,1001,110,568915,1000011,1,1,0,admin,
EN,1000,1001,110,677502,1000012,1,1,0,admin,
EN,1000,1001,110,766188,1000013,1,1,0,admin,
EN,1000,1001,110,766196,1000014,1,1,0,admin,
EN,1000,1001,110,834754,1000015,1,1,0,admin,
EN,1000,1001,110,02301038,1000016,1,1,0,admin,
EN,1000,1001,110,005753649,1000017,1,1,0,admin,
EN,1000,1001,110,005755897,1000018,1,1,0,admin,
EN,1000,1001,110,005755898,1000019,1,1,0,admin,
EN,1000,1001,110,005756251,1000020,1,1,0,admin,
EN,1000,1001,110,005756288,1000021,1,1,0,admin,
EN,1000,1001,110,005758080,1000022,1,1,0,admin,
EN,1000,1001,110,005758082,1000023,1,1,0,admin,
EN,1000,1001,110,005758084,1000024,1,1,0,admin,
EN,1000,1001,110,005758086,1000025,1,1,0,admin,
EN,1000,1001,110,005758088,1000026,1,1,0,admin,
EN,1000,1001,110,005758090,1000027,1,1,0,admin,
EN,1000,1001,110,005758092,1000028,1,1,0,admin,
EN,1000,1001,110,005758094,1000029,1,1,0,admin,
EN,1000,1001,110,005758199,1000030,1,1,0,admin,
EN,1000,1001,110,005759681,1000031,1,1,0,admin,
EN,1000,1001,110,005759682,1000032,1,1,0,admin,
EN,1000,1001,110,005759683,1000033,1,1,0,admin,
EN,1000,1001,110,005759684,1000034,1,1,0,admin,
EN,1000,1001,110,005759685,1000035,1,1,0,admin,
EN,1000,1001,110,005759686,1000036,1,1,0,admin,
EN,1000,1001,110,005759687,1000037,1,1,0,admin,
EN,1000,1001,110,005759688,1000038,1,1,0,admin,
EN,1000,1001,110,005759691,1000039,1,1,0,admin,
EN,1000,1001,110,005759706,1000040,1,1,0,admin,
EN,1000,1001,110,005759707,1000041,1,1,0,admin,
EN,1000,1001,110,005759709,1000042,1,1,0,admin,
EN,1000,1001,110,005759710,1000043,1,1,0,admin,
EN,1000,1001,110,005759711,1000044,1,1,0,admin,
EN,1000,1001,110,005759724,1000045,1,1,0,admin,
