LANG_ID,C_ID,PLANT_ID,WH_ID,PARTNER_TYP,PARTNER_CODE,PARTNER_NM,ADD_1,ADD_2,Zone ,COUNTRY,STATE,PH_NO,FX_NO,MAIL_ID,REF_TXT,LOCATION,LATITUDE,LONGITUDE,ST_TYP_ID,ST_BIN,STATUS_ID,Isdeleted,CTD_BY,CTD_ON,UTD_BY,UTD_ON
Language ID,Company Code ID,Plant ID,Warehouse ID,Business Parnter type,Partner Code,Partner Name ,Address 1,Address 2,Zone ,Country,State,Phone Number,Fax Number,E-Mail ID,Reference Text,Location ,Latitude,Longitude,Storage Type ID,Storage Bin ,Status ID,Deletion Indicator,created by,created on,updated by,updated on
NVARCHAR(5),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),INTEGER,NVARCHAR(50),NVARCHAR(50),NVARCHAR(5000),NVARCHAR(5000),NVARCHAR(500),NVARCHAR(50),NVARCHAR(50),NVARCHAR(500),NVARCHAR(500),NVARCHAR(500),NVARCHAR(500),NVARCHAR(500),"DECIMAL(30,15)","DECIMAL(30,15)",INTEGER,NVARCHAR(50),INTEGER,INTEGER,NVARCHAR(50),TIMESTAMP,NVARCHAR(50),TIMESTAMP
EN,1000,1001,110,1,VFT02030,SHENGHANG FAIR DEAL CO. LTD ( YIWU CHINA ),CHINA,,,CHINA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VFT00945,U.P.TREND GERMANY L/C01-490776,CHINA,,,CHINA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VLT00280,ASHRAF MALHOTRA TRADING,KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VCT00939,AL SHUJA TRAD. EST. CONSIGNMENT,KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VFT00001,TRUE VALUE COMPANY USA,USA,,,USA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VCT00095,CHINA HOME CONSIGNMENT,KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VCT00174,FAYASEL TRADING CONSIGNMENT,KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VCT01830,AL MERSAL TRADING CO. WL.L.L. (CONSIGNMENT),KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VFT02130,"ORGILL, INC U.S.2111700604",USA,,,USA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VCT01397,HAWAZEN AL MASEYA GEN TRD.(TOYS) CONSIGNMENT,KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VCT01418,HAMOUD R.AL OMAR GEN.TRD CONSIGNMENT,KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VCT01347,MOHSEN KUWAIT EST. CONSIGNMENT,KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VFT01696,WENKO ( TRUE VALUE USA ),USA,,,USA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VCT00508,BAGHLI & AL ARBASH INTL. CO .W.L.L. . CONSIGNMENT,KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VLT01869,AL OTHMAN & AL BISHER TRADING CO.WL.L.L.,KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VFC02716,MIK INTERNATIONAL TRADING FZE,UAE,,,UAE,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VLT00078,MARKET VISION TRADING COMPANY,KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VFT00575,EUROEAN TRADE CENTRE (ETC),ITALY,,,ITALY,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VLT00757,AL OTHMAN & AL BISHER TRDNG,KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VLT00290,ALI ABDULLA AL SANEA TRAD.,KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VCT02252,DALLAH GULF TRADE CO. (CONSIGNMENT),KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VCT02027,WINNERS INTERNATIONAL TRADING CO. (CONSIGNMENT),KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VCT01288,ANSAR AL JAZEERA GEN TRD CONSIGNMENT,KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VCT01987,JASCO IMPORT & EXPORT (CONSIGNMENT),KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VCT01245,HAWAZEN AL MASEYA GEN.TRD (STATIONERY)CONSIGNMENT,KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VST01759,HAWAZEN AL MASEYA GEN TRD CO. (15%) STATIONERY,KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VLT00098,KUWAIT AUTO PARTS IMPORTS CO.,KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VFT01791,KOOPMAN ( TRUE VALUE USA ),USA,,,USA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VCT02377,AMERICAN EAGLE IMPORT & EXPORT ESTABLISHMENT (CONSIGNMENT),KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VFC02726,CARMEL AND SUN TRADING LLC,UAE,,,UAE,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VLT00121,JASHANMAL & PARTNERS LTD,KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VFC02680,YLIADES S.A.S.,FRANCE,,,FRANCE,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VLT01874,U MARK ELECTRONICS & ELECTRICAL APPLIANCE,KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VCT02218,SMART CHOICE GEN. TRAD CO. WLL (CONSIGNMENT),KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VCT02186,REGENT CENTER CO. (CONSIGNMENT),KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,110,1,VFT02174,QUANZHOU XIEXING LIGHT INDUSTRY CO. (gardening),CHINA,,,CHINA,,,,,,,,,,,1,0,admin,,,
