LANG_ID,C_ID,PLANT_ID,WH_ID,ITM_CODE,PACK_BARCODE,ST_BIN,STCK_TYP_ID,SP_ST_IND_ID,BIN_CL_ID,TEXT,INV_QTY,INV_UOM,Isdeleted,IU_CTD_BY,IU_CTD_ON
Language ID,Company Code ID,Plant ID,Warehouse ID,Item code,Pack Barcode,Storage Bin ,Stock type ID,Special Stock Indicator ID,Bin Class ID,Description ,Inventory Quantity ,Inventory UOM,Deletion Indicator,Created By ,Created on
NVARCHAR(5),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),INTEGER,INTEGER,INTEGER,NVARCHAR(500),"DECIMAL(30,4)",NVARCHAR(50),INTEGER,NVARCHAR(50),TIMESTAMP
EN,1000,1001,110,0057514559,G180018992,GG1GD14C03,1,1,1,TEA BAG HOLDER 3LTR-BLU,30,EA,0,admin,
EN,1000,1001,110,0203010237,G180005156,GB1BQ03E03,1,1,1,GLASS GREEN 1GLASS-1QTY,66,EA,0,admin,
EN,1000,1001,110,0203010239,G180009307,GB1BQ02E02,1,1,1,GLASS PURPLE 1GLASS-1QTY,42,EA,0,admin,
EN,1000,1001,110,0203011618,G190030100,GG1GH14D03,1,1,1,DUST BRUSH WHITE&BEIGE,149,EA,0,admin,
EN,1000,1001,110,0203011625,G190030096,GG1GG14A03,1,1,1,DUSTER 69cm WHITE&BEIGE MIX COLOR,78,EA,0,admin,
EN,1000,1001,110,0203012553,G190036257,GB1BI20A01,1,1,1,S.STEEL CUTTING BOARD 24*15,71,EA,0,admin,
EN,1000,1001,110,0203012598,G190036278,GB1BI21B02,1,1,1,CUSHION 43x43cm BLACK,44,EA,0,admin,
EN,1000,1001,110,0203012600,G190035903,GG1GD18A03,1,1,1,CUSHION 43x43cm MAROON,52,EA,0,admin,
EN,1000,1001,110,020304992,G190026106,GG1GJ16B03,1,1,1,MICROFIBER TOWEL 40 X 48CM,43,EA,0,admin,
EN,1000,1001,110,020307535,G180003018,GB1BG25A02,1,1,1,4pc SPICE SET,96,EA,0,admin,
EN,1000,1001,110,020307633,G180002039,GB1BR01B01,1,1,1,BATH SQURE WITH HOLDER,26,EA,0,admin,
EN,1000,1001,110,020307830,G180003046,GG1GM16A09,1,1,1,FANCY MIRROR SQR,61,EA,0,admin,
EN,1000,1001,110,020308887,TV00196401,GB1BM22A03,1,1,1,6PC RND PLATE,61,EA,0,admin,
EN,1000,1001,110,020309215,G190032994,GB1BC12B02,1,1,1,POTATO EXPRESS,22,EA,0,admin,
EN,1000,1001,110,020309720,G180006579,GB1BG11C03,1,1,1,STRAINER,110,EA,0,admin,
EN,1000,1001,110,020309855,G180006483,GG1GH08B01,1,1,1,PLASTIC BUCKET SQR W/HANDLE 18L,223,EA,0,admin,
EN,1000,1001,110,020309919,G180020563,GB1BR01D02,1,1,1,RE USABLE BOTTLE CAPS,207,EA,0,admin,
EN,1000,1001,110,020309938,G180002568,GG1GO07A02,1,1,1,WHEELS FOE FLOWER STAND,7428,EA,0,admin,
EN,1000,1001,110,023251020,TV00203650,GB1BE17A01,1,1,1,S/ 6PC 220ML CUP &SAUCER,47,EA,0,admin,
EN,1000,1001,110,125416,TV00274639,GG1GM15A10,1,1,1,2pk 2X3/4 HINGES BRAZ,63,EA,0,admin,
EN,1000,1001,110,129650,TV00310799,GB1BO06A06,1,1,1,KNIFE BLADE HEAVY DUTY 5PK,370,EA,0,admin,
EN,1000,1001,110,129668,TV00223874,GB1BN21A06,1,1,1,BLADE DISPENSER 100pk,450,EA,0,admin,
EN,1000,1001,110,130579,G190031387,GG1GN02A04,1,1,1,NAT SAUCER 4-1/4 T.COTTA,1081,EA,0,admin,
EN,1000,1001,110,131261,TV00369900,GB1BO24A02,1,1,1,TOMATO/VEGETABLE FOOD 4.5LB,54,EA,0,admin,
EN,1000,1001,110,132241,TV00275073,GG1GN09A07,1,1,1,2pk 2X3/4 HINGES SATIN NICKLE,70,EA,0,admin,
EN,1000,1001,110,136911,TV00280181,GG1GB01E03,1,1,1,50X5/8 GARDEN HOSE COMERCL DUTY,40,EA,0,admin,
EN,1000,1001,110,138025,TV00274278,GB1BN21A13,1,1,1,3/8 NI INSET HINGE 10PK,88,EA,0,admin,
EN,1000,1001,110,138035,TV00176257,GG1GN01A15,1,1,1,BUNG CORD 1ROLL=90MTR,90,EA,0,admin,
EN,1000,1001,110,141388,TV00315930,GB1BK04C01,1,1,1,ELONG TOILET SEAT WHT,37,EA,0,admin,
EN,1000,1001,110,141393,G180020582,GB1BA07D01,1,1,1,PAD TOILET SEAT RND WHT,23,EA,0,admin,
EN,1000,1001,110,141398,G180020595,GB1BA07C01,1,1,1,ELONG WOOD TOILET SEAT WHT BRSHED NCKL,60,EA,0,admin,
EN,1000,1001,110,141922,TV00155127,GB1BM18D03,1,1,1,SCOTTS SNAP SPREADER,12,EA,0,admin,
EN,1000,1001,110,142379,TV00305777,GB1BC14E03,1,1,1,AIM FLAME UTILITY LIGHTER,84,EA,0,admin,
EN,1000,1001,110,142649,TV00147183,GB1BA19A02,1,1,1,20' TOASTER FO 4PK,3,EA,0,admin,
EN,1000,1001,110,142991,TV00304245,GG1GN11B02,1,1,1,COMPRESSION STRAIGHT STOP 1/2X3/8',17,EA,0,admin,
EN,1000,1001,110,148682,TV00261891,GB1BO11A06,1,1,1,DISHWASHING BO 7OZ,18,EA,0,admin,
EN,1000,1001,110,149455,G190031187,GB1BG17A02,1,1,1,MOKA SAUCER 9.26 T.COTTA,427,EA,0,admin,
EN,1000,1001,110,157004,TV00221357,GB1BE06B03,1,1,1,WALL MOUNT HOSE REEL 75,103,EA,0,admin,
EN,1000,1001,110,157398,TV00280707,GG1GN19C02,1,1,1,HOSE STAND 125 BLK,96,EA,0,admin,
EN,1000,1001,110,159788,TV00321426,GB1BO19A07,1,1,1,DOG EAR MITICI 3OZ,47,EA,0,admin,
EN,1000,1001,110,159842,TV00183493,GB1BO19A05,1,1,1,PAWS COLLAR 1' 18-26,69,EA,0,admin,
EN,1000,1001,110,159931,TV00214655,GG1GN09A07,1,1,1,CHOCOLATE REFL COLLAR 1' 18-26,51,EA,0,admin,
EN,1000,1001,110,163050,TV00281279,GB1BN17A03,1,1,1,COTTON DUST CLOTH 5PK,340,EA,0,admin,
EN,1000,1001,110,163060,TV00277521,GB1BK24B03,1,1,1,BRUSH PLUNGER CADDY,273,EA,0,admin,
