declared_value           REFERENCE_NUMBER
------------------------ ----------------------------------------------------------------------------------------------------
                    69.0 BOQ00219
                   428.0 BOQ00220
                    58.0 BOQ00221
                  1047.0 BOQ00222
                  1008.0 BOQ00223
                   183.0 BOQ00224
                   183.0 BOQ00225
                   674.0 BOQ00226
                   214.0 BOQ00227
                    41.0 BOQ00228
                    69.0 BOQ00229
                  1219.0 BOQ00230
                   183.0 BOQ00231
                   226.0 BOQ00233
                  1374.0 BOQ00234
                   233.0 BOQ00235
                   657.0 BOQ00236
                   579.0 BOQ00237
                   540.0 BOQ00238
                  1328.0 BOQ00239
                  1678.0 BOQ00240
                   391.0 BOQ00241
                   379.0 BOQ00242
                  1043.0 BOQ00243
                   183.0 BOQ00244
                   183.0 BOQ00245
                   550.0 BOQ00246
                   221.0 BOQ00247
                   361.0 BOQ00248
                   398.0 BOQ00249
                   310.0 BOQ00250
                   214.0 BOQ00251
                   177.0 BOQ00252
                   214.0 BOQ00253
                   214.0 BOQ00254
                    73.0 BOQ00255
                   278.0 BOQ00256
                   226.0 BOQ00257
                   147.0 BOQ00258
                   275.0 BOQ00259
                   459.0 BOQ00260
                   397.0 BOQ00261
                   139.0 BOQ00262
                   138.0 BOQ00263
                   238.0 BOQ00264
                   244.0 BOQ00265
                   226.0 BOQ00266
                   226.0 BOQ00267
                  2826.0 BOQ00268
                   322.0 BOQ00269
                     0.0 IW200023
                     0.0 IW200022
