LANG_ID,CLASS_ID,MATTER_NO,CLIENT_ID,INVOICE_NO,INVOICE_FISCAL_YEAR,INVOICE_PERIOD,POSTING_DATE,INVOICE_REFERENCE,PARTNER_ASSIGNED,INVOICE_DATE,INVOICE_AMT,PAID_AMOUNT,REMAIN_BAL,STATUS_ID,IS_DELETED,CTD_BY,CTD_ON
EN,1,50788-01,50788,65,2019,5,2019-05-31,Fees Billed on Invoice #: 65,admin,2019-05-31,32.50,32.50,0.00,54,0,admin,2019-05-31
EN,1,51257-01,51257,91,2019,5,2019-05-31,Fees Billed on Invoice #: 91,admin,2019-05-31,909.75,0.00,909.75,51,0,admin,2019-05-31
EN,1,20692-01,20692,92,2019,5,2019-05-31,,admin,2019-05-31,1891.75,1891.75,0.00,53,0,admin,2019-05-31
EN,1,50649-01,50649,93,2019,5,2019-05-31,Fees Billed on Invoice #: 93,admin,2019-05-31,6860.08,6860.08,0.00,54,0,admin,2019-05-31
EN,1,51142-01,51142,94,2019,5,2019-05-31,Fees Billed on Invoice #: 94,admin,2019-05-31,666.50,666.50,0.00,54,0,admin,2019-05-31
EN,1,51098-02,51098,96,2019,5,2019-05-31,Fees Billed on Invoice #: 96,admin,2019-05-31,2082.80,2082.80,0.00,54,0,admin,2019-05-31
EN,1,50952-79,50952,97,2019,5,2019-05-31,Fees Billed on Invoice #: 97,admin,2019-05-31,4829.50,1469.94,3359.56,53,0,admin,2019-05-31
EN,1,50689-02,50689,99,2019,5,2019-05-31,Fees Billed on Invoice #: 99,admin,2019-05-31,8881.95,0.00,8881.95,51,0,admin,2019-05-31
EN,1,51098-01,51098,100,2019,5,2019-05-31,Fees Billed on Invoice #: 100,admin,2019-05-31,1754.65,1754.65,0.00,54,0,admin,2019-05-31
EN,1,52651-01,52651,101,2019,5,2019-05-31,Fees Billed on Invoice #: 101,admin,2019-05-31,4805.00,1922.00,2883.00,53,0,admin,2019-05-31
EN,1,50766-01,50766,106,2019,5,2019-05-31,Faegre Baker Daniels Invoice No. 31133927 for local counsel services in the David Piper v. Plycem USA matter in Indiana.,admin,2019-05-31,1197.00,523.00,674.00,53,0,admin,2019-05-31
EN,1,50952-82,50952,107,2019,5,2019-05-31,Fees Billed on Invoice #: 107,admin,2019-05-31,3222.50,3222.50,0.00,54,0,admin,2019-05-31
EN,1,50136-03,50136,108,2019,5,2019-05-31,Fees Billed on Invoice #: 108,admin,2019-05-31,4717.00,2358.50,2358.50,53,0,admin,2019-05-31
EN,1,50921-01,50921,109,2019,5,2019-05-31,Fees Billed on Invoice #: 109,admin,2019-05-31,360.00,0.00,360.00,51,0,admin,2019-05-31
EN,1,50952-81,50952,110,2019,5,2019-05-31,Fees Billed on Invoice #: 110,admin,2019-05-31,1805.40,1805.40,0.00,54,0,admin,2019-05-31
EN,1,51009-01,51009,112,2019,5,2019-05-31,Fees Billed on Invoice #: 112,admin,2019-05-31,2109.00,0.00,2109.00,51,0,admin,2019-05-31
EN,1,50963-28,50963,113,2019,5,2019-05-31,Fees Billed on Invoice #: 113,admin,2019-05-31,831.00,827.00,4.00,53,0,admin,2019-05-31
EN,1,50009-01,50009,114,2019,5,2019-05-31,Fees Billed on Invoice #: 114,admin,2019-05-31,3070.00,3070.00,0.00,54,0,admin,2019-05-31
EN,1,50291-01,50291,116,2019,5,2019-05-31,Fees Billed on Invoice #: 116,admin,2019-05-31,518.00,518.00,0.00,54,0,admin,2019-05-31
EN,1,50184-01,50184,117,2019,5,2019-05-31,Fees Billed on Invoice #: 117,admin,2019-05-31,885.00,0.00,885.00,51,0,admin,2019-05-31
EN,1,50807-01,50807,119,2019,5,2019-05-31,Fees Billed on Invoice #: 119,admin,2019-05-31,50.00,0.00,50.00,51,0,admin,2019-05-31
EN,1,50699-01,50699,124,2019,5,2019-05-31,Fees Billed on Invoice #: 124,admin,2019-05-31,5200.00,5200.00,0.00,54,0,admin,2019-05-31
EN,1,50822-11,50822,126,2019,5,2019-05-31,Fees Billed on Invoice #: 126,admin,2019-05-31,7443.40,5519.40,1924.00,53,0,admin,2019-05-31
EN,1,50180-02,50180,127,2019,5,2019-05-31,Fees Billed on Invoice #: 127,admin,2019-05-31,550.00,550.00,0.00,54,0,admin,2019-05-31
