LANG_ID,CLASS_ID,MATTER_NO,CLIENT_ID,INVOICE_NO,SERIAL_NO,INVOICE_FISCAL_YEAR,INVOICE_PERIOD,ITEM_NO,INVOICE_TEXT,BILL_AMOUNT,STATUS_ID,IS_DELETED,CTD_BY,CTD_ON
EN,1,50788-01,50788,65,1,2019,5,1,Fees Billed on Invoice #: 65,32.50,51,0,admin,2022-12-05
EN,1,51257-01,51257,91,1,2019,5,1,Fees Billed on Invoice #: 91,909.75,51,0,admin,2022-12-05
EN,1,50649-01,50649,93,1,2019,5,1,Fees Billed on Invoice #: 93,5795.00,51,0,admin,2022-12-05
EN,1,50649-01,50649,93,2,2019,5,2,Flight expende to Lubbock for clients site visit in Muleshoe.,670.80,51,0,admin,2022-12-05
EN,1,50649-01,50649,93,3,2019,5,3,Travel Expenses - 1 night stay at Lubbock on 5/6 in transit to clients office in Muleshoe.,187.58,51,0,admin,2022-12-05
EN,1,50649-01,50649,93,4,2019,5,4,Travel Expenses - Avis Car Rental. In transit to clients office in Muleshoe.,206.70,51,0,admin,2022-12-05
EN,1,51142-01,51142,94,1,2019,5,1,Fees Billed on Invoice #: 94,166.50,51,0,admin,2022-12-05
EN,1,51142-01,51142,94,2,2019,5,2,Filing Fee - Certificate of Cancellation for the Primo Energy Holding LLC.,500.00,51,0,admin,2022-12-05
EN,1,51098-02,51098,96,1,2019,5,1,Fees Billed on Invoice #: 96,2072.00,51,0,admin,2022-12-05
EN,1,51098-02,51098,96,2,2019,5,2,"Filing Fee for filing Motion to Compel Discovery and Motion for Discovery Sanctions, proposed Order, Notice of Hearing, Notice of Appearance for attorney, Laura Hernandez.",10.80,51,0,admin,2022-12-05
EN,1,50952-79,50952,97,1,2019,5,1,Fees Billed on Invoice #: 97,4829.50,51,0,admin,2022-12-05
EN,1,50689-02,50689,99,1,2019,5,1,Fees Billed on Invoice #: 99,8871.40,51,0,admin,2022-12-05
EN,1,50689-02,50689,99,2,2019,5,2,Payment for Certified Copies from Fort Bend County Clerk's Office,10.55,51,0,admin,2022-12-05
EN,1,51098-01,51098,100,1,2019,5,1,Fees Billed on Invoice #: 100,1754.65,51,0,admin,2022-12-05
EN,1,52651-01,52651,101,1,2019,5,1,Fees Billed on Invoice #: 101,4805.00,51,0,admin,2022-12-05
EN,1,50766-01,50766,106,1,2019,5,1,Faegre Baker Daniels Invoice No. 31133927 for local counsel services in the David Piper v. Plycem USA matter in Indiana.,96.00,51,0,admin,2022-12-05
EN,1,50766-01,50766,106,2,2019,5,2,Fees Billed on Invoice #: 106,1101.00,51,0,admin,2022-12-05
EN,1,50952-82,50952,107,1,2019,5,1,Fees Billed on Invoice #: 107,487.50,51,0,admin,2022-12-05
EN,1,50952-82,50952,107,2,2019,5,2,"Perez & Morris LLC Invoice #0102820 for professional services related to La Michoacana Meat Market TM Holdings v. Alcauter, et al.",2735.00,51,0,admin,2022-12-05
EN,1,50136-03,50136,108,1,2019,5,1,Fees Billed on Invoice #: 108,4717.00,51,0,admin,2022-12-05
EN,1,50921-01,50921,109,1,2019,5,1,Fees Billed on Invoice #: 109,360.00,51,0,admin,2022-12-05
EN,1,50952-81,50952,110,1,2019,5,1,Fees Billed on Invoice #: 110,1805.40,51,0,admin,2022-12-05
EN,1,51009-01,51009,112,1,2019,5,1,Fees Billed on Invoice #: 112,2109.00,51,0,admin,2022-12-05
EN,1,50963-28,50963,113,1,2019,5,1,Fees Billed on Invoice #: 113,831.00,51,0,admin,2022-12-05
EN,1,50009-01,50009,114,1,2019,5,1,Fees Billed on Invoice #: 114,570.00,51,0,admin,2022-12-05
EN,1,50009-01,50009,114,2,2019,5,2,Private Investigator Surveillance Fee.,2500.00,51,0,admin,2022-12-05
EN,1,50291-01,50291,116,1,2019,5,1,Fees Billed on Invoice #: 116,518.00,51,0,admin,2022-12-05
EN,1,50184-01,50184,117,1,2019,5,1,Fees Billed on Invoice #: 117,885.00,51,0,admin,2022-12-05
EN,1,50807-01,50807,119,1,2019,5,1,Fees Billed on Invoice #: 119,50.00,51,0,admin,2022-12-05
EN,1,50699-01,50699,124,1,2019,5,1,Fees Billed on Invoice #: 124,5200.00,51,0,admin,2022-12-05
EN,1,50822-11,50822,126,1,2019,5,1,Fees Billed on Invoice #: 126,7438.00,51,0,admin,2022-12-05
EN,1,50822-11,50822,126,2,2019,5,2,Filing Fee,5.40,51,0,admin,2022-12-05
