paymentid,invoice_no,class_id,client_id,ctd_by,ctd_on,lang_id,matter_no,payment_amount,payment_date,payment_number,payment_text,posting_date,status_id,transaction_type,payment_code
2455189,0,1,50169,admin,2020-06-12,EN,50169,2448.50,2020-06-12,11403,Write Off of Fees,2020-06-12,WOF,PAYMENT,WOF
2455190,7956,1,50588,admin,2021-02-10,EN,50588,1135.00,2021-02-10,17640,Credit Card Payment INV#7956,2021-02-10,FPD,PAYMENT,FPD
2455191,4249,1,50745,admin,2020-03-19,EN,50745,308.00,2020-03-19,9094,Check Number 6380 against Inv# 4249,2020-03-19,HPD,PAYMENT,HPD
2455192,9646,1,50745,admin,2021-05-17,EN,50745,428.00,2021-05-17,20552,Check Number 1299 against Inv# 9646,2021-05-17,FPD,PAYMENT,FPD
2455193,2742,1,50002,admin,2020-12-09,EN,50002-01,71.00,2020-12-09,15874,Check Number 6446 against Inv# 2742,2020-12-09,FPD,PAYMENT,FPD
2455194,0,1,50002,admin,2020-12-29,EN,50002-01,0.60,2020-12-29,16094,Write Off of Fees - As per the list provided,2020-12-29,WOF,PAYMENT,WOF
2455195,16144,1,50005,admin,2022-05-23,EN,50005-01,315.00,2022-05-23,32699,Check Number 26936 against Inv# 16144,2022-05-23,FPD,PAYMENT,FPD
2455196,6498,1,50008,admin,2020-12-16,EN,50008-01,438.75,2020-12-16,16110,Credit Card Payment Inv #6498,2020-12-16,FPD,PAYMENT,FPD
2455197,13579,1,50008,admin,2021-11-30,EN,50008-02,1825.00,2021-11-30,27589,Credit Card Payment against Inv# 13579,2021-11-30,FPD,PAYMENT,FPD
2455198,8934,1,50008,admin,2021-06-22,EN,50008-03,19927.00,2021-06-22,22108,Credit Card Payment against Inv# 8934,2021-06-22,FPD,PAYMENT,FPD
2455199,9266,1,50008,admin,2021-07-08,EN,50008-03,22613.50,2021-07-08,22623,Credit Card Payment against Inv# 9266,2021-07-08,FPD,PAYMENT,FPD
2455200,9655,1,50008,admin,2021-07-08,EN,50008-03,887.50,2021-07-08,22624,Credit Card Payment against Inv# 9655,2021-07-08,FPD,PAYMENT,FPD
2455201,529,1,50013,admin,2019-07-12,EN,50013-01,650.00,2019-07-12,1583,Check Number 2234 against Inv# 529,2019-07-12,FPD,PAYMENT,FPD
2455202,0,1,50015,admin,2020-09-18,EN,50015-01,1515.00,2020-09-18,13715,Write Off of Fees - Per Debora's Write off list approved by JMM,2020-09-18,WOF,PAYMENT,WOF
2455203,0,1,500393,admin,2020-06-12,EN,50039-02,1500.00,2020-06-12,11393,Write Off of Fees per Jacob M. Monty - Incorrectly Billed,2020-06-12,WOF,PAYMENT,WOF
2455204,0,1,500393,admin,2019-07-19,EN,50039-03,2200.00,2019-07-19,3511,Credit card - Visa,2019-07-19,FPD,PAYMENT,FPD
2455205,0,1,500393,admin,2019-10-07,EN,50039-03,625.50,2019-10-07,5044,Approval Code 237723,2019-10-07,FPD,PAYMENT,FPD
2455206,16061,1,50040,admin,2022-05-12,EN,50040-02,207.50,2022-05-12,32701,Check Number 0062697711 against Inv# 16061,2022-05-12,FPD,PAYMENT,FPD
2455207,16326,1,50040,admin,2022-06-20,EN,50040-02,225.00,2022-06-20,33361,Check Number 0063591799 against Inv# 16326,2022-06-20,FPD,PAYMENT,FPD
2455208,3365,1,50041,admin,2020-01-15,EN,50041-01,111.00,2020-01-15,7110,Check Number Approval Code 236902 against Inv# 3365,2020-01-15,FPD,PAYMENT,FPD
2455209,7018,1,50041,admin,2020-12-11,EN,50041-01,115.00,2020-12-11,16112,Credit Card Payment Inv #7018,2020-12-11,FPD,PAYMENT,FPD
2455210,0,1,50046,admin,2019-12-13,EN,50046-01,577.00,2019-12-13,6237,Check Number 3845,2019-12-13,FPD,PAYMENT,FPD
2455211,0,1,500512,admin,2019-06-19,EN,500512-01,500.00,2019-06-19,962,Consultation Fee payment,2019-06-19,FPD,PAYMENT,FPD
2455212,0,1,50057,admin,2020-09-22,EN,50057-01,170.20,2020-09-22,13816,Write off fees - Per debora's Write off list approved by JMM,2020-09-22,WOF,PAYMENT,WOF
2455213,134,1,50068,admin,2019-07-18,EN,50068-01,1500.00,2019-07-18,1724,Check Number 44688 against Inv# 134,2019-07-18,FPD,PAYMENT,FPD
2455214,2890,1,50068,admin,2019-11-30,EN,50068-01,1500.00,2019-11-30,5716,Check Number 45586 against Inv# 2890,2019-11-30,FPD,PAYMENT,FPD
2455215,17121,1,50068,admin,2022-07-25,EN,50068-01,1500.00,2022-07-25,34336,Check Number 12072 against Inv# 17121,2022-07-25,FPD,PAYMENT,FPD
2455216,0,1,500207,admin,2019-09-25,EN,50070-06,5494.50,2019-09-25,3670,Check Number 018118,2019-09-25,FPD,PAYMENT,FPD
2455217,0,1,500207,admin,2019-09-25,EN,50070-06,19.08,2019-09-25,3671,Check Number 018118,2019-09-25,HPD,PAYMENT,HPD
2455218,7600,1,50074,admin,2021-01-15,EN,50074-01,20282.02,2021-01-15,16908,Wire Transfer Inv#7600,2021-01-15,FPD,PAYMENT,FPD
2455219,7600,1,50074,admin,2021-01-15,EN,50074-01,4717.98,2021-01-15,16909,Wire Transfer Inv#7600 against Inv# 6326 (Prior Balance on,2021-01-15,FPD,PAYMENT,FPD
2455220,16062,1,50079,admin,2022-07-20,EN,50079-01,1147.00,2022-07-20,34219,Check Number 3577 against Inv# 16062,2022-07-20,HPD,PAYMENT,HPD
2455221,16327,1,50079,admin,2022-07-20,EN,50079-01,140.00,2022-07-20,34220,Check Number 3577 against Inv# 16327,2022-07-20,FPD,PAYMENT,FPD
2455222,16941,1,50079,admin,2022-07-20,EN,50079-01,525.00,2022-07-20,34221,Check Number 3577 against Inv# 16941,2022-07-20,FPD,PAYMENT,FPD
