LANG_ID,CLASS_ID,MATTER_NO,CLIENT_ID,INVOICE_NO,SERIAL_NO,INVOICE_FISCAL_YEAR,INVOICE_PERIOD,ITEM_NO,INVOICE_TEXT,BILL_AMOUNT,STATUS_ID,IS_DELETED,CTD_BY,CTD_ON
EN,2,8872-011,8872,6464,1,2020,9,1,Federal Express fee for package mailed on 09.25.2020 to USCIS (Tracking No.:771603324492),16.92,51,0,admin,2020-09-30
EN,2,8872-011,8872,6464,2,2020,9,2,Fees Billed on Invoice #: 6464,500.00,51,0,admin,2020-09-30
EN,2,8872-011,8872,6902,3,2020,10,3,Fees Billed on Invoice #: 6902,50.00,51,0,admin,2020-10-31
EN,2,8872-011,8872,7491,4,2020,12,4,"Filing fee for Motion to Reopen payable to ""U.S. Department of Justice""",110.00,51,0,admin,2020-12-28
EN,2,8872-011,8872,8049,5,2021,1,5,Federal Express fee for package mailed on 01.19.2021 to ICE DHS (Tracking No.:782666978387),37.61,51,0,admin,2021-01-21
EN,2,8872-011,8872,8049,6,2021,1,6,Federal Express fee for package mailed on 12.30.2020 to USCIS (Tracking No.:772493499746),16.50,51,0,admin,2021-01-07
EN,2,8872-011,8872,8049,7,2021,1,7,Fees Billed on Invoice #: 8049,3500.00,51,0,admin,2021-01-31
EN,2,8872-011,8872,8878,8,2021,2,8,Federal Express fee for package mailed on 02.22.2021 to uscis (Tracking No.:772900131174),20.91,51,0,admin,2021-02-25
EN,2,8872-011,8872,8878,9,2021,2,9,Federal Express fee for package mailed on 02.22.2021 to San Antonio (Tracking No.:77290022194),20.91,51,0,admin,2021-02-25
EN,2,8872-011,8872,9371,10,2021,3,10,Federal Express fee for package mailed on 02.25.2021 to M&R(Tracking No.:791129214681),20.61,51,0,admin,2021-03-04
EN,2,8872-011,8872,10369,11,2021,5,11,"Filing fee for Motion to Reopen payable to ""U.S. Department of Homeland Security""",145.00,51,0,admin,2021-05-24
EN,2,10059-01,10059,818,1,2019,6,1,USPS Certified Mail fee for package mailed on 06/27/2019 to National Visa Center (Tracking No.: 70150640000168084785),10.00,51,0,admin,2019-06-27
EN,2,10059-01,10059,8069,2,2020,12,2,"National Visa Center Immigrant Visa Payment payable to ""U.S. Department of State""",445.00,51,0,admin,2020-12-02
EN,2,10059-01,10059,8069,3,2021,1,3,"National Visa Center Immigrant Visa Payment payable to ""U.S. Department of State""",120.00,51,0,admin,2021-01-05
EN,2,10059-01,10059,8069,4,2021,1,4,Federal Express fee for package mailed on 01.21.2021 to NVC (Tracking No.:772680814261),32.87,51,0,admin,2021-01-28
EN,2,10059-01,10059,8069,5,2021,1,5,Fees Billed on Invoice #: 8069,1000.00,51,0,admin,2021-01-31
