LANG_ID,CLASS_ID,CLIENT_ID,MATTER_NO,STATUS_ID,CTD_BY,CTD_ON,,,,,,,,,,,,,
EN,2,100001,100001-01,30,BHARGAVI,02-20-2016,,,,,,,,,,,,,
EN,2,7000,7000-16,30,BHARGAVI,02-20-2016,,,,,,,,,,,,,
EN,2,7001,7001-16,30,BHARGAVI,02-20-2016,,,,,,,,,,,,,
EN,2,7002,7002-16,30,BHARGAVI,02-20-2016,,,,,,,,,,,,,
EN,2,7003,7003-16,30,BHARGAVI,09-22-2016,,,,,,,,,,,,,
EN,2,7004,7004-16,30,BHARGAVI,02-20-2016,,,,,,,,,,,,,
EN,2,7005,7005-16,30,BHARGAVI,02-22-2016,,,,,,,,,,,,,
EN,2,7006,7006-16,30,BHARGAVI,02-22-2016,,,,,,,,,,,,,
EN,2,7007,7007-16,30,BHARGAVI,05-15-2018,,,,,,,,,,,,,
EN,2,7009,7009-16,30,BHARGAVI,02-24-2016,,,,,,,,,,,,,
EN,2,7011,7011-16,30,BHARGAVI,03-31-2016,,,,,,,,,,,,,
EN,2,7013,7013-21,30,BHARGAVI,05-18-2021,,,,,,,,,,,,,
EN,2,7014,7014-16,30,BHARGAVI,03-03-2016,,,,,,,,,,,,,
EN,2,7015,7015-16,30,BHARGAVI,03-03-2016,,,,,,,,,,,,,
EN,2,7016,7016-16,30,BHARGAVI,03-03-2016,,,,,,,,,,,,,
EN,2,7017,7017-16,30,BHARGAVI,03-03-2016,,,,,,,,,,,,,
EN,2,7018,7018-16,30,BHARGAVI,03-03-2016,,,,,,,,,,,,,
EN,2,7019,7019-16,30,BHARGAVI,03-04-2016,,,,,,,,,,,,,
EN,2,7021,7021-16,30,BHARGAVI,03-05-2016,,,,,,,,,,,,,
EN,2,7022,7022-16,30,BHARGAVI,03-10-2016,,,,,,,,,,,,,
EN,2,7023,7023-16,30,BHARGAVI,03-14-2016,,,,,,,,,,,,,
EN,2,7024,7024-16,30,BHARGAVI,03-14-2016,,,,,,,,,,,,,
EN,2,7025,7025-16,30,BHARGAVI,03-14-2016,,,,,,,,,,,,,
EN,2,7026,7026-16,30,BHARGAVI,03-14-2016,,,,,,,,,,,,,
EN,2,7027,7027-16,30,BHARGAVI,03-14-2016,,,,,,,,,,,,,
EN,2,7028,7028-20,30,BHARGAVI,04-08-2020,,,,,,,,,,,,,
EN,2,7029,7029-16,30,BHARGAVI,03-14-2016,,,,,,,,,,,,,
EN,2,7030,7030-16,30,BHARGAVI,03-14-2016,,,,,,,,,,,,,
EN,2,7031,7031-16,30,BHARGAVI,03-15-2016,,,,,,,,,,,,,
EN,2,7033,7033-16,30,BHARGAVI,10-24-2016,,,,,,,,,,,,,
EN,2,7034,7034-16,30,BHARGAVI,10-24-2016,,,,,,,,,,,,,
EN,2,7035,7035-16,30,BHARGAVI,08-31-2016,,,,,,,,,,,,,
EN,2,7036,7036-16 ,30,BHARGAVI,03-15-2016,,,,,,,,,,,,,
EN,2,7037,7037-16,30,BHARGAVI,03-21-2016,,,,,,,,,,,,,
EN,2,7038,7038-16,30,BHARGAVI,03-21-2016,,,,,,,,,,,,,
EN,2,7039,7039-16,30,BHARGAVI,03-21-2016,,,,,,,,,,,,,
EN,2,7040,7040-16,30,BHARGAVI,03-21-2016,,,,,,,,,,,,,
EN,2,7042,7042-16,30,BHARGAVI,03-21-2016,,,,,,,,,,,,,
