LANG_ID,CLASS_ID,MATTER_NO,CASEINFO_NO,CLIENT_ID,CASE_CATEGORY_ID,CASE_SUB_CATEGORY_ID,CASE_OPEN_DATE,PARTNER,ORIGINATING_TK,RESPONSIBLE_TK,ASSIGNED_TK,LEGAL_ASSIST,STATUS_ID,Isdeleted,CTD_BY,CTD_ON
EN,2,3963-191,888888,3963,20,30,8/28/2019,,SDM,MA,CC,,18,0,CR,8/28/2019
EN,2,2656-191,888888,2656,21,126,5/13/2019,,SDM,SDM,CC,,18,0,SM,5/13/2019
EN,2,2675-191,888888,2675,21,127,5/8/2019,,COD,COD,,,18,0,CR,5/8/2019
EN,2,2675-192,888888,2675,21,128,8/24/2019,,COD,COD,CC,,18,0,BG,8/24/2019
EN,2,2940-191,888888,2940,22,62,4/17/2019,,SDM,SDM,ADR,,18,0,CR,4/17/2019
EN,2,2940-192,888888,2940,21,62,11/4/2019,,SDM,SDM,CC,,18,0,CR,11/4/2019
EN,2,2790-191,888888,2790,12,80,4/18/2019,,COD,COD,MG,,18,0,DD,4/18/2019
EN,2,3011-191,888888,3011,20,129,10/11/2019,,SDM,SDM,SM,,18,0,SM,10/11/2019
EN,2,2818-191,888888,2818,21,4,6/5/2019,,DRG,SDM,IR,,18,0,SM,6/5/2019
EN,2,2818-192,888888,2818,21,130,4/15/2019,,DRG,SDM,IR,,18,0,SM,4/15/2019
EN,2,31761,888888,3176,12,131,12/18/2019,,SDM,SDM,,,18,0,CR,12/18/2019
EN,2,3615-181,888888,3615,12,132,9/14/2019,,COD,COD,MG,,18,0,BG,9/14/2019
EN,2,7013-191,888888,7013,21,133,6/14/2019,,SDM,SDM,IR,,18,0,SM,6/14/2019
EN,2,7013-192,888888,7013,21,134,7/31/2019,,SDM,SDM,IR,,18,0,CR,7/31/2019
EN,2,3194-191,888888,3194,12,135,4/13/2019,,COD,COD,SG,,18,0,BG,4/13/2019
EN,2,3660-201,888888,3660,12,136,7/6/2020,,COD,COD,IR,,18,0,CR,7/6/2020
EN,2,32291,888888,3229,12,303,6/4/2019,,,COD,,,18,0,TF,6/4/2019
EN,2,5500-191,888888,5500,20,133,4/1/2019,,DRG,SDM,CC,,18,0,CR,4/1/2019
EN,2,5500-192,888888,5500,21,137,5/8/2019,,SDM,SDM,CC,,18,0,CR,5/8/2019
EN,2,5500-193,888888,5500,20,138,6/20/2019,,SDM,SDM,CC,,18,0,CR,6/20/2019
EN,2,5692-191,888888,5692,20,4,11/1/2019,,SDM,SDM,,,18,0,CR,11/1/2019
EN,2,5692-192,888888,5692,20,139,4/2/2019,,SDM,SDM,,,18,0,CR,4/2/2019
EN,2,7089-191,888888,7089,20,140,9/23/2019,,SDM,SDM,AW,,18,0,CR,9/23/2019
EN,2,7089-192,888888,7089,20,141,7/30/2019,,SDM,SDM,AW,,18,0,SM,7/30/2019
EN,2,7089-193,888888,7089,20,133,11/20/2019,,SDM,SDM,AW,,18,0,CR,11/20/2019
EN,2,7089-194,888888,7089,20,142,6/22/2019,,SDM,SDM,AW,,18,0,CR,6/22/2019
EN,2,7089-195,888888,7089,20,133,11/25/2019,,SDM,SDM,AW,,18,0,CR,11/25/2019
