LANG_ID,CLASS_ID,CLIENT_ID,MATTER_NO,CASEINFO_NO,TK_CODE,DEF_RATE,ASSIGNED_RATE,RATE_UNIT,STATUS_ID,Isdeleted,CTD_BY,CTD_ON,UTD_BY,UTD_ON
EN,1,50005,50005-01,888888,BGM,325,285,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50046,50046-01,888888,BGM,325,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50068,50068-01,888888,BGM,325,285,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50328,50328-01,888888,BGM,325,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50452,50452-02,888888,BGM,325,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50583,50583-01,888888,BGM,325,325,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50680,50680-01,888888,BGM,325,390,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50712,50712-04,888888,BGM,325,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50712,50712-05,888888,BGM,325,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50723,50723-01,888888,BGM,325,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50798,50798-02,888888,BGM,325,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50822,50822-11,888888,BGM,325,250,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50822,50822-20,888888,BGM,325,250,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50822,50822-24,888888,BGM,325,250,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50822,50822-33,888888,BGM,325,250,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50822,50822-34,888888,BGM,325,250,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50822,50822-35,888888,BGM,325,250,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50822,50822-36,888888,BGM,325,250,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50822,50822-37,888888,BGM,325,250,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50866,50866-04,888888,BGM,325,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50916,50916-01,888888,BGM,325,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50933,50933-04,888888,BGM,325,315,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50933,50933-13,888888,BGM,325,315,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50933,50933-14,888888,BGM,325,315,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50933,50933-16,888888,BGM,325,315,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50933,50933-17,888888,BGM,325,315,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50963,50963-01,888888,BGM,325,250,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50963,50963-03,888888,BGM,325,185,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50991,50991-01,888888,BGM,325,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50996,50996-09,888888,BGM,325,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50999,50999-01,888888,BGM,325,285,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51026,51026-01,888888,BGM,325,315,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51026,51026-02,888888,BGM,325,315,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51043,51043-02,888888,BGM,325,295,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51054,51054-01,888888,BGM,325,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51054,51054-02,888888,BGM,325,185,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51054,51054-03,888888,BGM,325,185,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51054,51054-05,888888,BGM,325,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51054,51054-06,888888,BGM,325,185,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51054,51054-07,888888,BGM,325,185,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51054,51054-10,888888,BGM,325,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51054,51054-20,888888,BGM,325,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51054,51054-21,888888,BGM,325,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51054,51054-22,888888,BGM,325,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51054,51054-23,888888,BGM,325,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51054,51054-24,888888,BGM,325,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51054,51054-25,888888,BGM,325,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51054,51054-26,888888,BGM,325,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51054,51054-27,888888,BGM,325,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51054,51054-28,888888,BGM,325,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51054,51054-29,888888,BGM,325,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51054,51054-30,888888,BGM,325,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51054,51054-31,888888,BGM,325,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51098,51098-02,888888,BGM,325,275,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51098,51098-04,888888,BGM,325,275,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51209,51209-01,888888,BGM,325,285,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51266,51266-01,888888,BGM,325,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51266,51266-02,888888,BGM,325,285,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51269,51269-01,888888,BGM,325,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52015,52015-01,888888,BGM,325,125,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52567,52567-02,888888,BGM,325,225,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52652,52652-02,888888,BGM,325,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52653,52653-01,888888,BGM,325,325,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52657,52657-03,888888,BGM,325,185,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52657,52657-06,888888,BGM,325,230,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52657,52657-07,888888,BGM,325,185,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52657,52657-08,888888,BGM,325,225,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52657,52657-11,888888,BGM,325,225,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52657,52657-13,888888,BGM,325,230,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52657,52657-14,888888,BGM,325,230,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52657,52657-15,888888,BGM,325,230,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52657,52657-17,888888,BGM,325,230,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52658,52658-01,888888,BGM,325,125,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52902,52902-01,888888,BGM,325,250,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52902,52902-07,888888,BGM,325,250,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52905,52905-01,888888,BGM,325,125,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52906,52906-01,888888,BGM,325,325,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52907,52907-02,888888,BGM,325,276,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52907,52907-03,888888,BGM,325,276,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52907,52907-04,888888,BGM,325,276,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52907,52907-05,888888,BGM,325,276,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52907,52907-06,888888,BGM,325,276,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52907,52907-07,888888,BGM,325,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52908,52908-01,888888,BGM,325,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52948,52948-02,888888,BGM,325,275,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53002,53002-02,888888,BGM,325,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53009,53009-01,888888,BGM,325,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53011,53011-01,888888,BGM,325,250,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53011,53011-02,888888,BGM,325,250,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53013,53013-01,888888,BGM,325,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53013,53013-02,888888,BGM,325,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53017,53017-01,888888,BGM,325,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53027,53027-01,888888,BGM,325,275,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53030,53030-01,888888,BGM,325,325,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53033,53033-01,888888,BGM,325,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53038,53038-01,888888,BGM,325,285,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53043,53043-01,888888,BGM,325,225,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53500,53500-01,888888,BGM,325,325,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53500,53500-03,888888,BGM,325,325,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53905,53905-01,888888,BGM,325,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53913,53913-01,888888,BGM,325,285,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53925,53925-01,888888,BGM,325,295,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53925,53925-02,888888,BGM,325,295,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53925,53925-03,888888,BGM,325,295,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53958,53958-01,888888,BGM,325,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53960,53960-01,888888,BGM,325,295,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53965,53965-02,888888,BGM,325,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53965,53965-09,888888,BGM,325,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53965,53965-11,888888,BGM,325,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53965,53965-13,888888,BGM,325,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53970,53970-01,888888,BGM,325,325,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53973,53973-01,888888,BGM,325,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53976,53976-01,888888,BGM,325,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53980,53980-01,888888,BGM,325,295,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53987,53987-01,888888,BGM,325,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53993,53993-01,888888,BGM,325,375,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53994,53994-01,888888,BGM,325,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53995,53995-01,888888,BGM,325,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,54010,54010-01,888888,BGM,325,220,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,54011,54011-01,888888,BGM,325,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,55650,55650-01,888888,BGM,325,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50005,50005-01,888888,COD,450,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50102,50102-01,888888,COD,450,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50328,50328-01,888888,COD,450,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50991,50991-01,888888,COD,450,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51098,51098-01,888888,COD,450,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51098,51098-02,888888,COD,450,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51098,51098-03,888888,COD,450,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52015,52015-01,888888,COD,450,450,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52658,52658-01,888888,COD,450,450,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52905,52905-01,888888,COD,450,450,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52951,52951-01,888888,COD,450,450,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53005,53005-01,888888,COD,450,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53013,53013-01,888888,COD,450,375,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53021,53021-01,888888,COD,450,365,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53038,53038-01,888888,COD,450,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53500,53500-03,888888,COD,450,475,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,54010,54010-01,888888,COD,450,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,8414,8414-221,888888,COD,450,375,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,8617,8617-191,888888,COD,450,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,8642,8642-191,888888,COD,450,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9124,9124-211,888888,COD,450,475,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9125,9125-211,888888,COD,450,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9126,9126-211,888888,COD,450,300,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9127,9127-211,888888,COD,450,450,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9158,9158-211,888888,COD,450,350,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9277,9277-221,888888,COD,450,365,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9102,9102-211,888888,CR,0,125,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,9102,9102-211,888888,DC,85,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50008,50008-02,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50008,50008-03,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50068,50068-02,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50090,50090-01,888888,DD,125,185,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50141,50141-01,888888,DD,125,150,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50452,50452-02,888888,DD,125,105,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50555,50555-06,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50583,50583-01,888888,DD,125,175,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50822,50822-13,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50822,50822-23,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50963,50963-01,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50963,50963-02,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50963,50963-03,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50963,50963-28,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50963,50963-33,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50963,50963-34,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,50991,50991-01,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51043,51043-01,888888,DD,125,100,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51054,51054-04,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51054,51054-06,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51054,51054-07,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51054,51054-10,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51098,51098-02,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51161,51161-01,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51194,51194-01,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51239,51239-01,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,51269,51269-01,888888,DD,125,120,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52015,52015-01,888888,DD,125,150,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52652,52652-01,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52658,52658-01,888888,DD,125,150,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52902,52902-01,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52902,52902-02,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52902,52902-03,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52902,52902-05,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52902,52902-06,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52902,52902-07,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52905,52905-01,888888,DD,125,100,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52906,52906-01,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52948,52948-01,888888,DD,125,150,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,52951,52951-01,888888,DD,125,100,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53020,53020-01,888888,DD,125,95,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53021,53021-01,888888,DD,125,150,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53022,53022-01,888888,DD,125,50,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53030,53030-01,888888,DD,125,175,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53033,53033-01,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53043,53043-01,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53905,53905-01,888888,DD,125,120,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53926,53926-01,888888,DD,125,150,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53927,53927-01,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53928,53928-01,888888,DD,125,95,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53930,53930-01,888888,DD,125,50,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53935,53935-01,888888,DD,125,150,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53937,53937-01,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53938,53938-01,888888,DD,125,150,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53941,53941-01,888888,DD,125,120,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53942,53942-01,888888,DD,125,150,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53946,53946-01,888888,DD,125,150,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53947,53947-01,888888,DD,125,150,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53948,53948-01,888888,DD,125,150,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53950,53950-01,888888,DD,125,150,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53957,53957-01,888888,DD,125,105,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53966,53966-01,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53971,53971-01,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53977,53977-01,888888,DD,125,100,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53981,53981-01,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53984,53984-01,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53995,53995-01,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
EN,1,53997,53997-01,888888,DD,125,85,$,26,0,admin,2022-06-30,admin,2022-06-30
