LANG_ID,CLASS_ID,MATTER_NO,CLIENT_ID,INVOICE_NO,INVOICE_FISCAL_YEAR,INVOICE_PERIOD,POSTING_DATE,INVOICE_REFERENCE,PARTNER_ASSIGNED,INVOICE_DATE,INVOICE_AMT,PAID_AMOUNT,REMAIN_BAL,STATUS_ID,IS_DELETED,CTD_BY,CTD_ON
EN,2,8995-211,2656,17153,2022,6,2022-06-30,,admin,2022-06-30,630.00,210,420,53,0,admin,2022-06-30
EN,2,2673-211,2673,15087,2022,1,2022-01-31,,admin,2022-01-31,420.80,0,420.8,51,0,admin,2022-01-31
EN,2,IV000102,IV000102,273,2019,5,2019-05-31,,admin,2019-05-31,421.17,0,421.17,51,0,admin,2019-05-31
EN,2,8449-191,8449,422,2019,5,2019-05-31,,admin,2019-05-31,1021.88,600,421.88,53,0,admin,2019-05-31
EN,2,8380-191,8190,2233,2019,8,2019-08-31,,admin,2019-08-31,421.92,0,421.92,51,0,admin,2019-08-31
EN,2,8124-191,7482,425,2019,5,2019-05-31,,admin,2019-05-31,422.50,0,422.5,51,0,admin,2019-05-31
EN,2,8331-01,8397,8044,2021,1,2021-01-31,,admin,2021-01-31,423.87,0,423.87,51,0,admin,2021-01-31
EN,2,9086-211,9086,15115,2021,2,2022-06-30,,admin,2022-06-30,1455.00,1031.09,423.91,53,0,admin,2022-06-30
EN,2,6876-011,6876,4157,2020,2,2020-02-29,,admin,2020-02-29,425.00,0,425,51,0,admin,2020-02-29
EN,2,8674-201,8674,5537,2020,6,2020-06-30,,admin,2020-06-30,910.00,485,425,53,0,admin,2020-06-30
EN,2,8405-191,8405,4787,2020,1,2020-01-31,,admin,2020-01-31,3951.31,3525,426.31,53,0,admin,2020-01-31
EN,2,7397-201,7397,5032,2020,4,2020-04-30,,admin,2020-04-30,426.72,0,426.72,51,0,admin,2020-04-30
EN,2,7387-171,7387,279,2019,5,2019-05-31,,admin,2019-05-31,429.45,0,429.45,51,0,admin,2019-05-31
EN,2,8497-201,8497,6406,2020,9,2020-09-30,,admin,2020-09-30,4100.00,3670,430,53,0,admin,2020-09-30
EN,2,8429-191,8429,1624,2019,8,2019-08-31,,admin,2019-08-31,1800.00,1367.33,432.67,53,0,admin,2019-08-31
EN,2,2675-211,2675,15141,2022,1,2022-01-31,,admin,2022-01-31,433.91,0,433.91,51,0,admin,2022-01-31
