LANG_ID,CLASS_ID,MATTER_NO,CLIENT_ID,INVOICE_NO,INVOICE_FISCAL_YEAR,INVOICE_PERIOD,POSTING_DATE,INVOICE_REFERENCE,PARTNER_ASSIGNED,INVOICE_DATE,INVOICE_AMT,PAID_AMOUNT,REMAIN_BAL,STATUS_ID,IS_DELETED,CTD_BY,CTD_ON
EN,2,9158-211,9158,12231,2021,7,2021-07-31,,admin,2021-07-31,7580.00,50000.00,-42420.00,54,0,admin,2021-07-31
EN,2,8341-191,8341,7375,2020,12,2020-12-31,,admin,2020-12-31,778.00,26623.56,-25845.56,54,0,admin,2020-12-31
EN,2,8738-201,8738,6943,2020,11,2020-11-30,,admin,2020-11-30,390.00,12478.79,-12088.79,54,0,admin,2020-11-30
EN,2,3341-211,3341,16823,2022,5,2022-05-31,,admin,2022-05-31,8135.00,19720.00,-11585.00,54,0,admin,2022-05-31
EN,2,7174-191,6924,3011,2019,11,2019-11-30,,admin,2019-11-30,326.20,11880.00,-11553.80,54,0,admin,2019-11-30
EN,2,8432-191,8432,852,2019,6,2019-06-30,,admin,2019-06-30,94.26,10500.00,-10405.74,54,0,admin,2019-06-30
EN,2,8988-211,8987,9138,2021,3,2021-03-31,,admin,2021-03-31,4322.48,14172.50,-9850.02,54,0,admin,2021-03-31
EN,2,8759-201,8758,4918,2020,4,2020-04-30,,admin,2020-04-30,2065.00,11275.00,-9210.00,54,0,admin,2020-04-30
EN,2,7279-201,8052,4403,2020,2,2020-02-29,,admin,2020-02-29,500.00,9380.00,-8880.00,54,0,admin,2020-02-29
EN,2,3860-191,3860,2629,2019,10,2019-10-31,,admin,2019-10-31,895.00,9251.68,-8356.68,54,0,admin,2019-10-31
EN,2,6878-191,6878,2184,2019,9,2019-09-30,,admin,2019-09-30,6770.00,15000.00,-8230.00,54,0,admin,2019-09-30
EN,2,8257-181,8397,5570,2020,6,2020-06-30,,admin,2020-06-30,4410.00,12465.00,-8055.00,54,0,admin,2020-06-30
EN,2,8942-201,8397,13045,2021,9,2021-09-30,,admin,2021-09-30,4500.00,12500.00,-8000.00,54,0,admin,2021-09-30
EN,2,9203-211,9086,14154,2021,11,2021-11-30,,admin,2021-11-30,22.25,7960.00,-7937.75,54,0,admin,2021-11-30
EN,2,9028-211,9028,17246,2022,6,2022-06-30,,admin,2022-06-30,500.00,8360.00,-7860.00,54,0,admin,2022-06-30
EN,2,9312-221,9086,16218,2022,4,2022-04-30,,admin,2022-04-30,538.08,8210.00,-7671.92,54,0,admin,2022-04-30
EN,2,9224-211,9224,13591,2021,10,2021-10-31,,admin,2021-10-31,410.00,7610.00,-7200.00,54,0,admin,2021-10-31
EN,2,8420-201,8420,4393,2019,8,2019-08-31,,admin,2019-08-31,520.26,7428.34,-6908.08,54,0,admin,2019-08-31
EN,2,8083-201,2742,5532,2020,6,2020-06-30,,admin,2020-06-30,519.42,7355.00,-6835.58,54,0,admin,2020-06-30
EN,2,8353-191,94.1,1184,2019,7,2019-07-31,,admin,2019-07-31,1500.00,8000.00,-6500.00,54,0,admin,2019-07-31
EN,2,8354-191,8354,3167,2019,11,2019-11-30,,admin,2019-11-30,66.81,6354.42,-6287.61,54,0,admin,2019-11-30
EN,2,8905-201,8905,6893,2020,10,2020-10-31,,admin,2020-10-31,150.00,6310.00,-6160.00,54,0,admin,2020-10-31
EN,2,9315-551,9314,17211,2022,6,2022-06-30,,admin,2022-06-30,250.00,6320.00,-6070.00,54,0,admin,2022-06-30
EN,2,2656-01,52654,8525,2021,2,2021-02-28,,admin,2021-02-28,1125.00,7166.94,-6041.94,54,0,admin,2021-02-28
EN,2,8355-211,8355,8573,2021,2,2021-02-28,,admin,2021-02-28,1020.00,7000.00,-5980.00,54,0,admin,2021-02-28
EN,2,8549-201,8549,7270,2020,8,2020-08-31,,admin,2020-08-31,150.00,6000.00,-5850.00,54,0,admin,2020-08-31
EN,2,5550-201,5550,14501,2020,6,2020-06-30,,admin,2020-06-30,1100.00,6897.46,-5797.46,54,0,admin,2020-06-30
EN,2,8279-211,10091,14159,2021,11,2021-11-30,,admin,2021-11-30,21.79,5710.00,-5688.21,54,0,admin,2021-11-30
EN,2,8817-211,8817,13584,2021,10,2021-10-31,,admin,2021-10-31,969.30,6495.00,-5525.70,54,0,admin,2021-10-31
EN,2,9066-211,9066,17370,2022,6,2022-06-30,,admin,2022-06-30,1000.00,6525.00,-5525.00,54,0,admin,2022-06-30
EN,2,7545-211,7544,12184,2021,7,2021-07-31,,admin,2021-07-31,27.00,5535.00,-5508.00,54,0,admin,2021-07-31
EN,2,8681-201,8682,3967,2020,1,2020-01-31,,admin,2020-01-31,3000.00,8500.00,-5500.00,54,0,admin,2020-01-31
EN,2,8724-201,8719,16383,2020,3,2020-03-31,,admin,2020-03-31,2650.00,8000.00,-5350.00,54,0,admin,2020-03-31
EN,2,3758-201,3758,6077,2020,8,2020-08-31,,admin,2020-08-31,1709.66,7000.00,-5290.34,54,0,admin,2020-08-31
EN,2,9245-211,9241,14526,2021,12,2021-12-31,,admin,2021-12-31,66.10,5322.50,-5256.40,54,0,admin,2021-12-31
EN,2,9321-221,9086,16472,2022,4,2022-04-30,,admin,2022-04-30,21.17,5210.00,-5188.83,54,0,admin,2022-04-30
EN,2,9275-221,9086,16040,2022,3,2022-03-31,,admin,2022-03-31,25.28,5210.00,-5184.72,54,0,admin,2022-03-31
EN,2,6275-211,6275,15033,2022,1,2022-01-31,,admin,2022-01-31,700.00,5750.00,-5050.00,54,0,admin,2022-01-31
EN,2,8789-201,8789,7193,2020,11,2020-11-30,,admin,2020-11-30,150.00,5200.00,-5050.00,54,0,admin,2020-11-30
EN,2,9363-221,9086,16889,2022,5,2022-05-31,,admin,2022-05-31,18.71,4985.70,-4966.99,54,0,admin,2022-05-31
EN,2,7286-191,7286,4170,2020,2,2020-02-29,,admin,2020-02-29,514.81,5450,-4935.19,54,0,admin,2020-02-29
EN,2,9281-221,9241,17305,2022,6,2022-06-30,,admin,2022-06-30,33.88,4960,-4926.12,54,0,admin,2022-06-30
EN,2,9350-221,9241,17304,2022,6,2022-06-30,,admin,2022-06-30,42.21,4960,-4917.79,54,0,admin,2022-06-30
EN,2,8699-201,8699,10441,2021,5,2021-05-31,,admin,2021-05-31,462.15,5305,-4842.85,54,0,admin,2021-05-31
EN,2,8829-201,6988,7263,2020,7,2020-07-31,,admin,2020-07-31,100.00,4775,-4675,54,0,admin,2020-07-31
EN,2,8656-191,8656,8147,2021,1,2021-01-31,,admin,2021-01-31,28.95,4682.5,-4653.55,54,0,admin,2021-01-31
EN,2,8673-221,6924,16994,2022,5,2022-05-31,,admin,2022-05-31,100.00,4700,-4600,54,0,admin,2022-05-31
EN,2,8865-201,8865,12478,2021,8,2021-08-31,,admin,2021-08-31,2436.00,7005,-4569,54,0,admin,2021-08-31
EN,2,7009-201,7008,6601,2020,9,2020-09-30,,admin,2020-09-30,1500.00,6050,-4550,54,0,admin,2020-09-30
EN,2,5179-211,5179,16374,2022,4,2022-04-30,,admin,2022-04-30,222.74,4707.51,-4484.77,54,0,admin,2022-04-30
EN,2,9201-211,9201,17364,2022,6,2022-06-30,,admin,2022-06-30,1000.00,5400,-4400,54,0,admin,2022-06-30
EN,2,9185-211,9184,13081,2021,9,2021-09-30,,admin,2021-09-30,500.00,4837.5,-4337.5,54,0,admin,2021-09-30
