paymentid,invoice_no,class_id,client_id,ctd_by,ctd_on,lang_id,matter_no,payment_amount,payment_date,payment_number,payment_text,posting_date,status_id,transaction_type,payment_code
5625479,6464,2,8872,admin,2020-08-18,EN,8872-011,110.00,2020-08-18,99999,CASH Payment _ Government Fee,2020-08-18,HPD,PAYMENT,HPD
5625480,6464,2,8872,admin,2020-08-18,EN,8872-011,600.00,2020-08-18,99999,VISA Payment Consultation,2020-08-18,FPD,PAYMENT,FPD
5625481,6464,2,8872,admin,2020-08-18,EN,8872-011,2000.00,2020-08-18,99999,VISA Payment,2020-08-18,FPD,PAYMENT,FPD
5625482,6464,2,8872,admin,2020-08-25,EN,8872-011,800.00,2020-08-25,99999,Attorney Fees,2020-08-25,FPD,PAYMENT,FPD
5625483,0,2,8872,admin,2021-03-17,EN,8872-011,200.00,2021-03-17,99999,Visa Payment - Attorney Fees,2021-03-17,FPD,PAYMENT,FPD
5625484,0,2,8872,admin,2021-03-17,EN,8872-011,1000.00,2021-03-17,99999,Visa Payment - Attorney Fees,2021-03-17,FPD,PAYMENT,FPD
5625485,0,2,10009,admin,2022-07-06,EN,10009-01,2875.00,2022-07-06,99999,Remaining Balance,2022-07-06,FPD,PAYMENT,FPD
5625486,0,2,10009,admin,2022-06-28,EN,10009-01,2625.00,2022-06-28,99999,VISA Payment,2022-06-28,FPD,PAYMENT,FPD
5625487,0,2,10009,admin,2022-06-28,EN,10009-01,862.50,2022-06-28,99999,VISA Payment,2022-06-28,HPD,PAYMENT,HPD
5625488,0,2,10010,admin,2022-06-28,EN,10010-01,400.00,2022-06-28,99999,VISA Payment,2022-06-28,FPD,PAYMENT,FPD
5625489,0,2,10010,admin,2022-06-28,EN,10010-01,112.50,2022-06-28,99999,VISA Payment,2022-06-28,HPD,PAYMENT,HPD
5625490,0,2,10012,admin,2022-07-01,EN,10012-01,2000.00,2022-07-01,99999,Attorney and Cost Payment,2022-07-01,FPD,PAYMENT,FPD
5625491,0,2,10012,admin,2022-07-01,EN,10012-01,300.00,2022-07-01,99999,Attorney and Cost Payment,2022-07-01,HPD,PAYMENT,HPD
5625492,0,2,10013,admin,2022-07-05,EN,10013-01,3925.00,2022-07-05,99999,American Express - Atty Fees & Cost,2022-07-05,FPD,PAYMENT,FPD
5625493,0,2,10013,admin,2022-07-05,EN,10013-01,765.00,2022-07-05,99999,American Express - Atty Fees & Cost,2022-07-05,HPD,PAYMENT,HPD
5625494,0,2,10011,admin,2022-07-07,EN,10020-01,450.00,2022-07-07,99999,Visa Payment - Atty Fees,2022-07-07,FPD,PAYMENT,FPD
5625495,0,2,10011,admin,2022-07-07,EN,10020-01,5150.00,2022-07-07,99999,Initial Payment,2022-07-07,FPD,PAYMENT,FPD
5625496,0,2,10011,admin,2022-07-07,EN,10020-02,400.00,2022-07-07,99999,VISA Payment,2022-07-07,HPD,PAYMENT,HPD
