LANG_ID,CLASS_ID,MATTER_NO,CLIENT_ID,INVOICE_NO,SERIAL_NO,INVOICE_FISCAL_YEAR,INVOICE_PERIOD,ITEM_NO,INVOICE_TEXT,BILL_AMOUNT,STATUS_ID,IS_DELETED,CTD_BY,CTD_ON
EN,1,51142-02,51142,638,1,2019,6,1,Fees Billed on Invoice #: 638,"$6,270.00",54,0,JI,2022-10-07
EN,1,51142-02,51142,1060,1,2019,7,1,Fees Billed on Invoice #: 1060,"$12,017.50",54,0,JI,2022-10-07
EN,1,51142-02,51142,2041,1,2019,8,1,Fees Billed on Invoice #: 2041,"$32,200.00",53,0,JI,2022-10-07
EN,1,51142-02,51142,2266,1,2019,9,1,Fees Billed on Invoice #: 2266,"$30,410.00",54,0,JI,2022-10-07
EN,1,51142-02,51142,2779,1,2019,10,1,Fees Billed on Invoice #: 2779,"$9,225.00",54,0,JI,2022-10-07
EN,1,51142-02,51142,3388,1,2019,12,1,Fees Billed on Invoice #: 3388,"$3,610.00",54,0,JI,2022-10-07
EN,1,51142-02,51142,4030,1,2020,1,1,Fees Billed on Invoice #: 4030,"$5,415.00",54,0,JI,2022-10-07
EN,1,51142-02,51142,4325,1,2020,2,1,Fees Billed on Invoice #: 4325,"$15,162.50",54,0,JI,2022-10-07
EN,1,51142-02,51142,4623,1,2020,3,1,Fees Billed on Invoice #: 4623,"$3,942.50",54,0,JI,2022-10-07
EN,1,51142-02,51142,4876,1,2020,4,1,Fees Billed on Invoice #: 4876,"$7,267.50",54,0,JI,2022-10-07
EN,1,51142-02,51142,5105,1,2020,5,1,Fees Billed on Invoice #: 5105,"$12,932.50",54,0,JI,2022-10-07
EN,1,51142-02,51142,5366,1,2020,6,1,Fees Billed on Invoice #: 5366,"$4,227.50",54,0,JI,2022-10-07
EN,1,51142-02,51142,5799,1,2020,7,1,Fees Billed on Invoice #: 5799,"$14,450.00",54,0,JI,2022-10-07
EN,1,51142-02,51142,6045,1,2020,8,1,Fees Billed on Invoice #: 6045,"$22,577.50",54,0,JI,2022-10-07
EN,1,51142-02,51142,6436,1,2020,9,1,Fees Billed on Invoice #: 6436,"$22,942.50",54,0,JI,2022-10-07
EN,1,51142-02,51142,6840,1,2020,10,1,Fees Billed on Invoice #: 6840,"$5,612.50",54,0,JI,2022-10-07
EN,1,51142-02,51142,7073,1,2020,11,1,Fees Billed on Invoice #: 7073,"$12,180.00",54,0,JI,2022-10-07
EN,1,51142-02,51142,7418,1,2020,12,1,Fees Billed on Invoice #: 7418,"$13,007.50",54,0,JI,2022-10-07
EN,1,51142-02,51142,8005,1,2021,1,1,Fees Billed on Invoice #: 8005,"$28,920.50",54,0,JI,2022-10-07
EN,1,51142-02,51142,8698,1,2021,2,1,Fees Billed on Invoice #: 8698,"$25,977.50",54,0,JI,2022-10-07
EN,1,51142-02,51142,9226,1,2021,3,1,Fees Billed on Invoice #: 9226,"$14,997.50",54,0,JI,2022-10-07
EN,1,51142-02,51142,9677,1,2021,4,1,Fees Billed on Invoice #: 9677,"$36,260.00",54,0,JI,2022-10-07
EN,1,51142-02,51142,10128,1,2021,5,1,Fees Billed on Invoice #: 10128,"$45,208.75",54,0,JI,2022-10-07
EN,1,51142-02,51142,10621,1,2021,6,1,Fees Billed on Invoice #: 10621,"$23,025.00",54,0,JI,2022-10-07
EN,1,51142-02,51142,12266,1,2021,7,1,Fees Billed on Invoice #: 12266,"$30,092.50",53,0,JI,2022-10-07
EN,1,51142-02,51142,12509,1,2021,8,1,Fees Billed on Invoice #: 12509,"$19,697.50",54,0,JI,2022-10-07
EN,1,51142-02,51142,13058,1,2021,9,1,Fees Billed on Invoice #: 13058,"$53,847.50",53,0,JI,2022-10-07
EN,1,51142-02,51142,13490,1,2021,10,1,Fees Billed on Invoice #: 13490,"$25,687.50",53,0,JI,2022-10-07
EN,1,51142-02,51142,14003,1,2021,11,1,Fees Billed on Invoice #: 14003,"$2,397.50",54,0,JI,2022-10-07
EN,1,51142-02,51142,14394,1,2021,12,1,Fees Billed on Invoice #: 14394,"$3,752.50",54,0,JI,2022-10-07
EN,1,51142-02,51142,14919,1,2022,1,1,Fees Billed on Invoice #: 14919,"$27,360.00",53,0,JI,2022-10-07
EN,1,51142-02,51142,15674,1,2022,2,1,Fees Billed on Invoice #: 15674,"$85,280.00",54,0,JI,2022-10-07
EN,1,51142-02,51142,16078,1,2022,3,1,Fees Billed on Invoice #: 16078,"$66,645.00",53,0,JI,2022-10-07
EN,1,51142-02,51142,16345,1,2022,4,1,Fees Billed on Invoice #: 16345,"$38,795.00",53,0,JI,2022-10-07
EN,1,51142-02,51142,16502,1,2022,4,1,Fees Billed on Invoice #: 16502,$817.50,54,0,JI,2022-10-07
EN,1,51142-02,51142,16966,1,2022,5,1,Fees Billed on Invoice #: 16966,"$23,560.00",54,0,JI,2022-10-07
EN,1,51142-02,51142,17174,1,2022,6,1,Fees Billed on Invoice #: 17174,"$18,547.50",51,0,JI,2022-10-07
