paymentid,invoice_no,class_id,client_id,ctd_by,ctd_on,lang_id,matter_no,payment_amount,payment_date,payment_number,payment_text,posting_date,status_id,transaction_type,payment_code
,2779,1,51142,JI,2022-10-07,EN,51142-02,9225.00,2019-11-22,8194,Check Number 1069 against Inv# 2779,2019-11-22,FPD,PAYMENT,FPD
,0,1,51142,JI,2022-10-07,EN,51142-02,1368.00,2022-01-31,30109,Jacob Monty Courtesy Discount,2022-01-31,DIC,PAYMENT,DIC
,15674,1,51142,JI,2022-10-07,EN,51142-02,4264.00,2022-02-28,31031,Jacob Monty 5% Courtesy Discount on Inv# 15674,2022-02-28,DIC,PAYMENT,DIC
,0,1,51142,JI,2022-10-07,EN,51142-02,3332.25,2022-03-31,32000,Jacob Monty Courtesy Discount,2022-03-31,DIC,PAYMENT,DIC
,16966,1,51142,JI,2022-10-07,EN,51142-02,1178.00,2022-06-23,33548,Jacob Monty Courtesy 5% Discount on Inv# 16966,2022-06-23,DIC,PAYMENT,DIC
,638,1,51142,JI,2022-10-07,EN,51142-02,6270.00,2019-07-26,1930,Check Number 1060 against Inv# 638,2019-07-26,FPD,PAYMENT,FPD
,638,1,51142,JI,2022-10-07,EN,51142-02,1079.58,2019-07-26,1931,Check Number 1060 against Inv# 638,2019-07-26,HPD,PAYMENT,HPD
,1060,1,51142,JI,2022-10-07,EN,51142-02,12017.50,2019-08-22,2536,Check Number 1068 against Inv# 1060,2019-08-22,FPD,PAYMENT,FPD
,2041,1,51142,JI,2022-10-07,EN,51142-02,1610.00,2019-08-31,3626,Courtesy Discount,2019-08-31,DIS,PAYMENT,DIS
,1072,1,51142,JI,2022-10-07,EN,51142-02,30590.00,2019-09-24,3638,Check Number # 1072,2019-09-24,FPD,PAYMENT,FPD
,1072,1,51142,JI,2022-10-07,EN,51142-02,1346.97,2019-09-24,3639,Check Number # 1072,2019-09-24,HPD,PAYMENT,HPD
,2266,1,51142,JI,2022-10-07,EN,51142-02,30410.00,2019-10-23,4550,Check Number 1079 against Inv# 2266,2019-10-23,FPD,PAYMENT,FPD
,2266,1,51142,JI,2022-10-07,EN,51142-02,2546.16,2019-10-23,4551,Check Number 1079 against Inv# 2266,2019-10-23,HPD,PAYMENT,HPD
,3388,1,51142,JI,2022-10-07,EN,51142-02,3610.00,2020-01-29,7405,Check Number 1095 against Inv# 3388,2020-01-29,FPD,PAYMENT,FPD
,4030,1,51142,JI,2022-10-07,EN,51142-02,5415.00,2020-02-27,8314,Check Number 1101 against Inv# 4030,2020-02-27,FPD,PAYMENT,FPD
,4325,1,51142,JI,2022-10-07,EN,51142-02,15162.50,2020-03-20,9119,Check Number 1105 against Inv# 4325,2020-03-20,FPD,PAYMENT,FPD
,4623,1,51142,JI,2022-10-07,EN,51142-02,3942.50,2020-04-21,9942,Check Number 1108 against Inv# 4623,2020-04-21,FPD,PAYMENT,FPD
,4876,1,51142,JI,2022-10-07,EN,51142-02,7267.50,2020-05-28,10817,Check Number 1112 against Inv# 4876,2020-05-28,FPD,PAYMENT,FPD
,5105,1,51142,JI,2022-10-07,EN,51142-02,12932.50,2020-06-26,11685,Check Number 1116 against Inv# 5105,2020-06-26,FPD,PAYMENT,FPD
