paymentid,invoice_no,class_id,client_id,ctd_by,ctd_on,lang_id,matter_no,payment_amount,payment_date,payment_number,payment_text,posting_date,status_id,transaction_type,payment_code
,9680,1,51142,admin,2019-06-26,EN,51142-02,7317.35,2019-06-26,1007,Check Number 1056 against Inv# 191,2019-06-26,FPD,PAYMENT,FPD
,,1,51142,admin,2020-03-30,EN,51142-03,15000,2020-03-30,9865,Courtesy Discount - Approved by Jacob M. Monty  on 4/14/2020,2020-03-30,DIS,PAYMENT,DIS
,,1,51142,admin,2022-01-31,EN,51142-03,1913,2022-01-31,30110,Jacob Monty Courtesy Discount,2022-01-31,DIC,PAYMENT,DIC
,,1,51142,admin,2022-03-31,EN,51142-03,1286.37,2022-03-31,31998,Jacob Monty Courtesy Discount,2022-03-31,DIC,PAYMENT,DIC
,,1,51142,admin,2022-05-31,EN,51142-03,1987.75,2022-05-31,33342,Jacob Monty Courtesy Discount,2022-05-31,DIC,PAYMENT,DIC
,16977,1,51142,admin,2022-06-23,EN,51142-03,2200.13,2022-06-23,33549,Jacob Monty Courtesy 5% Discount on Inv# 16977,2022-06-23,DIC,PAYMENT,DIC
,642,1,51142,admin,2019-07-26,EN,51142-03,57410,2019-07-26,1928,Check Number 013 against Inv# 642,2019-07-26,FPD,PAYMENT,FPD
,642,1,51142,admin,2019-07-26,EN,51142-03,250.04,2019-07-26,1929,Check Number 013 against Inv# 642,2019-07-26,HPD,PAYMENT,HPD
,1071,1,51142,admin,2019-08-22,EN,51142-03,9793.5,2019-08-22,2530,Check Number 014 against Inv# 1071,2019-08-22,FPD,PAYMENT,FPD
,1071,1,51142,admin,2019-08-22,EN,51142-03,323.63,2019-08-22,2531,Check Number 014 against Inv# 1071,2019-08-22,HPD,PAYMENT,HPD
,1861,1,51142,admin,2019-09-24,EN,51142-03,4565,2019-09-24,3645,Check Number 1005 against Inv# 1861,2019-09-24,FPD,PAYMENT,FPD
,1861,1,51142,admin,2019-09-24,EN,51142-03,5.4,2019-09-24,3646,Check Number 1005 against Inv# 1861,2019-09-24,HPD,PAYMENT,HPD
,1861,1,51142,admin,2019-09-24,EN,51142-03,1143.15,2019-09-24,3647,Check Number 1005 against Inv# 1861,2019-09-24,HPD,PAYMENT,HPD
,2322,1,51142,admin,2019-10-23,EN,51142-03,28327.5,2019-10-23,4544,Check Number against Inv# 2322,2019-10-23,FPD,PAYMENT,FPD
,2322,1,51142,admin,2019-10-23,EN,51142-03,50,2019-10-23,4545,Check Number against Inv# 2322,2019-10-23,HPD,PAYMENT,HPD
,3266,1,51142,admin,2019-11-21,EN,51142-03,3866,2019-11-21,5582,Credit to Account,2019-11-21,CRE,PAYMENT,CRE
,2901,1,51142,admin,2019-11-26,EN,51142-03,8273.41,2019-11-26,5684,Check Number against Inv# 2901,2019-11-26,HPD,PAYMENT,HPD
,3389,1,51142,admin,2019-12-31,EN,51142-03,1360,2019-12-31,6687,Check Number 60296,2019-12-31,FPD,PAYMENT,FPD
,3389,1,51142,admin,2019-12-31,EN,51142-03,270,2019-12-31,6688,Check Number 60296,2019-12-31,HPD,PAYMENT,HPD
,3389,1,51142,admin,2020-01-29,EN,51142-03,21339.25,2020-01-29,7408,Check Number 3448 against Inv# 3389,2020-01-29,FPD,PAYMENT,FPD
,3389,1,51142,admin,2020-01-29,EN,51142-03,599.22,2020-01-29,7409,Check Number 3448 against Inv# 3389,2020-01-29,HPD,PAYMENT,HPD
,3912,1,51142,admin,2020-02-27,EN,51142-03,64765.5,2020-02-27,8319,Check Number 1176 against Inv# 3912,2020-02-27,FPD,PAYMENT,FPD
,3912,1,51142,admin,2020-02-27,EN,51142-03,460.48,2020-02-27,8320,Check Number 1176 against Inv# 3912,2020-02-27,HPD,PAYMENT,HPD
,4326,1,51142,admin,2020-03-20,EN,51142-03,39227.5,2020-03-20,9122,Check Number 1177 against Inv# 4326,2020-03-20,FPD,PAYMENT,FPD
