PARTNER_CODE,LANG_ID,C_ID,PLANT_ID,WH_ID,ITEM_CODE,PARTNER_TYP,PARTNER_ITM_BAR,MFR_CODE,MFR_NAME,BRND_NM,PARTNER_NAME,PARTNER_ITM_CODE,PARTNER_ITM_BAR_CODE,MFR_BAR,STK,STK_UOM,STATUS_ID,REF_FIELD_1,REF_FIELD_2,REF_FIELD_3,IS_DELETED,CTD_BY
TAI,EN,21,222,200,22902308,1,0077,TAI,TAI,,TAI,0077,0077,0077,0,ECH,0,,,,0,ADMIN
NAT,EN,21,222,200,2081,1,2081,NAT,NAT,,NAT,2081,2081,2081,0,ECH,0,,,,0,ADMIN
WKG,EN,21,222,200,2423,1,2423,WKG,WKG,,WKG,2423,2423,2423,0,ECH,0,,,,0,ADMIN
WKG,EN,21,222,200,2750,1,2750,WKG,WKG,,WKG,2750,2750,2750,0,ECH,0,,,,0,ADMIN
HAY,EN,21,222,200,2787,1,2787,HAY,HAY,,HAY,2787,2787,2787,0,ECH,0,,,,0,ADMIN
AVN,EN,21,222,200,3200,1,3200,AVN,AVN,,AVN,3200,3200,3200,0,ECH,0,,,,0,ADMIN
BES,EN,21,222,200,3280,1,3280,BES,BES,,BES,3280,3280,3280,0,ECH,0,,,,0,ADMIN
ANC,EN,21,222,200,3303,1,3303,ANC,ANC,,ANC,3303,3303,3303,0,ECH,0,,,,0,ADMIN
BES,EN,21,222,200,5593,1,5593,BES,BES,,BES,5593,5593,5593,0,ECH,0,,,,0,ADMIN
BES,EN,21,222,200,5595,1,5595,BES,BES,,BES,5595,5595,5595,0,ECH,0,,,,0,ADMIN
AVN,EN,21,222,200,6410,1,6410,AVN,AVN,,AVN,6410,6410,6410,0,ECH,0,,,,0,ADMIN
TRS,EN,21,222,200,8704,1,8704,TRS,TRS,,TRS,8704,8704,8704,0,ECH,0,,,,0,ADMIN
WKG,EN,21,222,200,13157,1,13157,WKG,WKG,,WKG,13157,13157,13157,0,ECH,0,,,,0,ADMIN
BES,EN,21,222,200,21371,1,21371,BES,BES,,BES,21371,21371,21371,0,ECH,0,,,,0,ADMIN
WKG,EN,21,222,200,21540,1,21540,WKG,WKG,,WKG,21540,21540,21540,0,ECH,0,,,,0,ADMIN
WKG,EN,21,222,200,21609,1,21609,WKG,WKG,,WKG,21609,21609,21609,0,ECH,0,,,,0,ADMIN
BES,EN,21,222,200,21649,1,BES21649,BES,BES,,BES,BES21649,BES21649,BES21649,0,ECH,0,,,,0,ADMIN
BES,EN,21,222,200,21687,1,21687,BES,BES,,BES,21687,21687,21687,0,ECH,0,,,,0,ADMIN
WKG,EN,21,222,200,21770,1,21770,WKG,WKG,,WKG,21770,21770,21770,0,ECH,0,,,,0,ADMIN
