inventoryId,languageId,companyCodeId,plantId,warehouseId,palletCode,caseCode,itemCode,packBarcodes,variantCode,variantSubCode,batchSerialNumber,storageBin,stockTypeId,specialStockIndicatorId,referenceOrderNo,storageMethod,binClassId,description,allocatedQuantity,inventoryQuantity,inventoryUom,manufacturerCode,manufacturerDate,expiryDate,barcodeId,cbm,cbmUnit,cbmPerQuantity,manufacturerName,origin,brand,referenceDocumentNo,levelId,companyDescription,plantDescription,warehouseDescription,statusDescription,stockTypeDescription,deletionIndicator,referenceField1,referenceField2,referenceField3,referenceField4,referenceField5,referenceField6,referenceField7,referenceField8,referenceField9,referenceField10,dType,createdBy
1709259936793,EN,23,125,200,99999,99999,545009N00A-BS,99999,,,,A1-AA-01-10A,1,1,,,1,PM3 BUSH (SMALL) LOWER ARM FR L/RH MAXIM,0,4,ECH,PIS,,,,,,,PIS,,,,2,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,4,AA,,,PM3 BUSH (SMALL) LOWER ARM FR L/RH MAXIM,PIS,A1,InventoryV2,admin
1709259936794,EN,23,125,200,99999,99999,LTE010872,99999,,,,A1-AA-01-10A,1,1,,,1,PM3 TIE ROD END OUTER RH SENTRA B17 14-1,0,4,ECH,PIS,,,,,,,PIS,,,,2,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,4,AA,,,PM3 TIE ROD END OUTER RH SENTRA B17 14-1,PIS,A1,InventoryV2,admin
1709259936795,EN,23,125,200,99999,99999,LTR010252,99999,,,,A1-AA-01-10A,1,1,,,1,PM4 RACK END ACCORD 2.4L 03-07/ ACURA TL,0,6,ECH,PIS,,,,,,,PIS,,,,2,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,6,AA,,,PM4 RACK END ACCORD 2.4L 03-07/ ACURA TL,PIS,A1,InventoryV2,admin
1709259936796,EN,23,125,200,99999,99999,LTU010101B,99999,,,,A1-AA-01-10B,1,1,,,1,PM4 BUSH LOWER ARM FRONT MURANO 03-07/ M,0,6,ECH,PIS,,,,,,,PIS,,,,2,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,6,AA,,,PM4 BUSH LOWER ARM FRONT MURANO 03-07/ M,PIS,A1,InventoryV2,admin
1709259936797,EN,23,125,200,99999,99999,LTU010275B,99999,,,,A1-AA-01-10B,1,1,,,1,BUSH LOWER ARM FRONT MURANO 09-13/ ALTIM,0,2,ECH,PIS,,,,,,,PIS,,,,2,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,2,AA,,,BUSH LOWER ARM FRONT MURANO 09-13/ ALTIM,PIS,A1,InventoryV2,admin
1709259936798,EN,23,125,200,99999,99999,LTU010279B,99999,,,,A1-AA-01-10B,1,1,,,1,PM3 BUSH(BIG)LOWER ARM FRT JUKE/X-TRAIL,0,3,ECH,PIS,,,,,,,PIS,,,,2,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,3,AA,,,PM3 BUSH(BIG)LOWER ARM FRT JUKE/X-TRAIL,PIS,A1,InventoryV2,admin
1709259936799,EN,23,125,200,99999,99999,LTE010589,99999,,,,A1-AA-01-10C,1,1,,,1,PM3 TIE ROD END OUTER LH MAZDA6 09-,0,2,ECH,PIS,,,LTE010589,,,,PIS,,,,2,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,2,AA,,,PM3 TIE ROD END OUTER LH MAZDA6 09-,PIS,A1,InventoryV2,admin
1709259936800,EN,23,125,200,99999,99999,LTU010143,99999,,,,A1-AA-01-10C,1,1,,,1,BUSH UPPER ARM FRONT LS.430 01-06,0,5,ECH,PIS,,,LTU010143,,,,PIS,,,,2,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,5,AA,,,BUSH UPPER ARM FRONT LS.430 01-06,PIS,A1,InventoryV2,admin
1709259936801,EN,23,125,200,99999,99999,LTU010282-B,99999,,,,A1-AA-01-20A,1,1,,,1,BUSH LOWER ARM FR L/RH RAV4 06-11(BIG),0,2,ECH,PIS,,,,,,,PIS,,,,2,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,2,AA,,,BUSH LOWER ARM FR L/RH RAV4 06-11(BIG),PIS,A1,InventoryV2,admin
1709259936802,EN,23,125,200,99999,99999,LTU010442-S,99999,,,,A1-AA-01-20A,1,1,,,1,PM3 BUSH LOWER ARM FR L/RH URVAN E24 04-,0,2,ECH,PIS,,,,,,,PIS,,,,2,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,2,AA,,,PM3 BUSH LOWER ARM FR L/RH URVAN E24 04-,PIS,A1,InventoryV2,admin
